id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1277235875752161281,1277235875752161281,1593351737000,2020-06-28,13:42:17,UTC,1024025724389351424,pickuplineig,Pick Up Line,,"*Holds out hand*
Hey I’m going for a walk. Will you hold this for me?",[],[],[],0,2,9,[],[],https://twitter.com/pickuplineig/status/1277235875752161281,False,,0,,,,,,,"[{'user_id': '1024025724389351424', 'username': 'pickuplineig'}]",,,,
1277235594045816833,1277235594045816833,1593351670000,2020-06-28,13:41:10,UTC,1024025724389351424,pickuplineig,Pick Up Line,,"If being in love was illegal, will you be my partner in crime?",[],[],[],0,1,8,[],[],https://twitter.com/pickuplineig/status/1277235594045816833,False,,0,,,,,,,"[{'user_id': '1024025724389351424', 'username': 'pickuplineig'}]",,,,
1276859578462986243,1276859578462986243,1593262021000,2020-06-27,12:47:01,UTC,1024025724389351424,pickuplineig,Pick Up Line,,Today I don’t feel like doing anything. Except you,[],[],[],0,1,18,[],[],https://twitter.com/pickuplineig/status/1276859578462986243,False,,0,,,,,,,"[{'user_id': '1024025724389351424', 'username': 'pickuplineig'}]",,,,
1276859329438720003,1276859329438720003,1593261961000,2020-06-27,12:46:01,UTC,1024025724389351424,pickuplineig,Pick Up Line,,Can i have you for breakfast in bed today?,[],[],[],0,1,15,[],[],https://twitter.com/pickuplineig/status/1276859329438720003,False,,0,,,,,,,"[{'user_id': '1024025724389351424', 'username': 'pickuplineig'}]",,,,
1276836466451189760,1276836466451189760,1593256510000,2020-06-27,11:15:10,UTC,1024025724389351424,pickuplineig,Pick Up Line,,Do you have a Bandaid? Cos I just scraped my knee falling for you.,[],[],[],0,1,12,[],[],https://twitter.com/pickuplineig/status/1276836466451189760,False,,0,,,,,,,"[{'user_id': '1024025724389351424', 'username': 'pickuplineig'}]",,,,
1276545892070367233,1276545892070367233,1593187232000,2020-06-26,16:00:32,UTC,1024025724389351424,pickuplineig,Pick Up Line,,"Hey, last time i looked at my keyboard, i noticed that “u” & “i” are always together.",[],[],[],0,2,20,[],[],https://twitter.com/pickuplineig/status/1276545892070367233,False,,0,,,,,,,"[{'user_id': '1024025724389351424', 'username': 'pickuplineig'}]",,,,
1276391028065361920,1276391028065361920,1593150309000,2020-06-26,05:45:09,UTC,1024025724389351424,pickuplineig,Pick Up Line,,What's the best thing about elevator jokes? They work on so many levels.,[],[],[],0,1,8,[],[],https://twitter.com/pickuplineig/status/1276391028065361920,False,,0,,,,,,,"[{'user_id': '1024025724389351424', 'username': 'pickuplineig'}]",,,,
1275863468244172800,1275863468244172800,1593024529000,2020-06-24,18:48:49,UTC,1024025724389351424,pickuplineig,Pick Up Line,,Are you terms and conditions? Cause whatever you say I’ll always agree with you.,[],[],[],0,1,26,[],[],https://twitter.com/pickuplineig/status/1275863468244172800,False,,0,,,,,,,"[{'user_id': '1024025724389351424', 'username': 'pickuplineig'}]",,,,
1275653726892679168,1275653726892679168,1592974523000,2020-06-24,04:55:23,UTC,1024025724389351424,pickuplineig,Pick Up Line,,Can i tie your shoes because i don't want you falling for anyone else,[],[],[],0,5,44,[],[],https://twitter.com/pickuplineig/status/1275653726892679168,False,,0,,,,,,,"[{'user_id': '1024025724389351424', 'username': 'pickuplineig'}]",,,,
1275456770039664644,1275456770039664644,1592927565000,2020-06-23,15:52:45,UTC,1024025724389351424,pickuplineig,Pick Up Line,,"I’m sorry I didn’t get you chocolates for Valentine’s day, but if you want something sweet, I’m right here.",[],[],[],0,4,19,[],[],https://twitter.com/pickuplineig/status/1275456770039664644,False,,0,,,,,,,"[{'user_id': '1024025724389351424', 'username': 'pickuplineig'}]",,,,
