id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1276898424584048641,1276898424584048641,1593271282000,2020-06-27,15:21:22,UTC,1154316092787105792,bestpickuplin3s,best pickup lines,,"was ur cat struck by lightning?

cause ur pussy is electrifying",[],[],[],0,4,25,[],[],https://twitter.com/bestpickuplin3s/status/1276898424584048641,False,,0,,,,,,,"[{'user_id': '1154316092787105792', 'username': 'bestpickuplin3s'}]",,,,
1276897387798298624,1276897387798298624,1593271035000,2020-06-27,15:17:15,UTC,1154316092787105792,bestpickuplin3s,best pickup lines,,"on a scale of 1 to 10, you are 8

and i'm in 2 you",[],[],[],1,13,60,[],[],https://twitter.com/bestpickuplin3s/status/1276897387798298624,False,,0,,,,,,,"[{'user_id': '1154316092787105792', 'username': 'bestpickuplin3s'}]",,,,
1276392813366779906,1276392813366779906,1593150735000,2020-06-26,05:52:15,UTC,1154316092787105792,bestpickuplin3s,best pickup lines,,"i'd love to be saturn

so i could be closer to uranus",[],[],[],0,2,13,[],[],https://twitter.com/bestpickuplin3s/status/1276392813366779906,False,,0,,,,,,,"[{'user_id': '1154316092787105792', 'username': 'bestpickuplin3s'}]",,,,
1276392654956376065,1276392654956376065,1593150697000,2020-06-26,05:51:37,UTC,1154316092787105792,bestpickuplin3s,best pickup lines,,"the word of the day is legs...

wanna help me spread the word?",[],[],[],0,3,24,[],[],https://twitter.com/bestpickuplin3s/status/1276392654956376065,False,,0,,,,,,,"[{'user_id': '1154316092787105792', 'username': 'bestpickuplin3s'}]",,,,
1275581947255894017,1275581947255894017,1592957410000,2020-06-24,00:10:10,UTC,1154316092787105792,bestpickuplin3s,best pickup lines,,"roses are red, they are white too...

quarantine's fucking my mind, cause i'm missing you",[],[],[],0,9,53,[],[],https://twitter.com/bestpickuplin3s/status/1275581947255894017,False,,0,,,,,,,"[{'user_id': '1154316092787105792', 'username': 'bestpickuplin3s'}]",,,,
1275180040616099848,1275180040616099848,1592861588000,2020-06-22,21:33:08,UTC,1154316092787105792,bestpickuplin3s,best pickup lines,,"see those gaps between your fingers...

they're for my fingers to slip in",[],[],[],0,13,62,[],[],https://twitter.com/bestpickuplin3s/status/1275180040616099848,False,,0,,,,,,,"[{'user_id': '1154316092787105792', 'username': 'bestpickuplin3s'}]",,,,
1275178774661943296,1275178774661943296,1592861286000,2020-06-22,21:28:06,UTC,1154316092787105792,bestpickuplin3s,best pickup lines,,"twinkle twinkle little star, we can do it in my car",[],[],[],0,1,26,[],[],https://twitter.com/bestpickuplin3s/status/1275178774661943296,False,,0,,,,,,,"[{'user_id': '1154316092787105792', 'username': 'bestpickuplin3s'}]",,,,
1274910419879178240,1274910419879178240,1592797305000,2020-06-22,03:41:45,UTC,1154316092787105792,bestpickuplin3s,best pickup lines,,"you know when the class was asked the synonym of beautiful...

everyone was looking at the board while my eyes were searching for you",[],[],[],0,5,39,[],[],https://twitter.com/bestpickuplin3s/status/1274910419879178240,False,,0,,,,,,,"[{'user_id': '1154316092787105792', 'username': 'bestpickuplin3s'}]",,,,
1274909750250156039,1274909750250156039,1592797145000,2020-06-22,03:39:05,UTC,1154316092787105792,bestpickuplin3s,best pickup lines,,"roses are red, i met you it must be fate...

i shall take down ur number, cause i think you're great",[],[],[],0,2,20,[],[],https://twitter.com/bestpickuplin3s/status/1274909750250156039,False,,0,,,,,,,"[{'user_id': '1154316092787105792', 'username': 'bestpickuplin3s'}]",,,,
1274909128343859200,1274909128343859200,1592796997000,2020-06-22,03:36:37,UTC,1154316092787105792,bestpickuplin3s,best pickup lines,,"hey girl, you look like my first wife...

idk tho i've never been married",[],[],[],0,3,14,[],[],https://twitter.com/bestpickuplin3s/status/1274909128343859200,False,,0,,,,,,,"[{'user_id': '1154316092787105792', 'username': 'bestpickuplin3s'}]",,,,
1274700787101425664,1274700787101425664,1592747325000,2020-06-21,13:48:45,UTC,1154316092787105792,bestpickuplin3s,best pickup lines,,"i feel like u and i belong together

even the keyboard says so!",[],[],[],0,3,37,[],[],https://twitter.com/bestpickuplin3s/status/1274700787101425664,False,,0,,,,,,,"[{'user_id': '1154316092787105792', 'username': 'bestpickuplin3s'}]",,,,
1274700215770066944,1274700215770066944,1592747188000,2020-06-21,13:46:28,UTC,1154316092787105792,bestpickuplin3s,best pickup lines,,"happy fathers day to me, i guess

cos you're my baby ;)",[],[],[],0,7,44,[],[],https://twitter.com/bestpickuplin3s/status/1274700215770066944,False,,0,,,,,,,"[{'user_id': '1154316092787105792', 'username': 'bestpickuplin3s'}]",,,,
1274699646082916352,1274699646082916352,1592747053000,2020-06-21,13:44:13,UTC,1154316092787105792,bestpickuplin3s,best pickup lines,,"call me a plumber

because i've got the tools to get your waters flowing",[],[],[],0,5,20,[],[],https://twitter.com/bestpickuplin3s/status/1274699646082916352,False,,0,,,,,,,"[{'user_id': '1154316092787105792', 'username': 'bestpickuplin3s'}]",,,,
1274698515084652544,1274698515084652544,1592746783000,2020-06-21,13:39:43,UTC,1154316092787105792,bestpickuplin3s,best pickup lines,,"noticed the mistake in the latest music charts?

they forgot to list you in their hottest singles",[],[],[],0,2,21,[],[],https://twitter.com/bestpickuplin3s/status/1274698515084652544,False,,0,,,,,,,"[{'user_id': '1154316092787105792', 'username': 'bestpickuplin3s'}]",,,,
1273952059193282562,1273952059193282562,1592568814000,2020-06-19,12:13:34,UTC,1154316092787105792,bestpickuplin3s,best pickup lines,,"you're the best work of art i've ever seen, vincent van gogh must be jealous of you",[],[],[],0,4,18,[],[],https://twitter.com/bestpickuplin3s/status/1273952059193282562,False,,0,,,,,,,"[{'user_id': '1154316092787105792', 'username': 'bestpickuplin3s'}]",,,,
1273949387006320640,1273949387006320640,1592568177000,2020-06-19,12:02:57,UTC,1154316092787105792,bestpickuplin3s,best pickup lines,,"you're a work of art

let me go inside you, i wanna check the whole museum",[],[],[],0,2,29,[],[],https://twitter.com/bestpickuplin3s/status/1273949387006320640,False,,0,,,,,,,"[{'user_id': '1154316092787105792', 'username': 'bestpickuplin3s'}]",,,,
1273948557087735809,1273948557087735809,1592567979000,2020-06-19,11:59:39,UTC,1154316092787105792,bestpickuplin3s,best pickup lines,,"you're a work of art

let me nail you against a wall",[],[],[],0,4,44,[],[],https://twitter.com/bestpickuplin3s/status/1273948557087735809,False,,0,,,,,,,"[{'user_id': '1154316092787105792', 'username': 'bestpickuplin3s'}]",,,,
1273644790102581255,1273644790102581255,1592495555000,2020-06-18,15:52:35,UTC,1154316092787105792,bestpickuplin3s,best pickup lines,,"i'm afraid that my lips are gonna get burned when i'll kiss you, because you're so fuckin hot",[],[],[],0,6,45,[],[],https://twitter.com/bestpickuplin3s/status/1273644790102581255,False,,0,,,,,,,"[{'user_id': '1154316092787105792', 'username': 'bestpickuplin3s'}]",,,,
1273644376942686208,1273644376942686208,1592495457000,2020-06-18,15:50:57,UTC,1154316092787105792,bestpickuplin3s,best pickup lines,,you're so hot that i could fry an egg on you,[],[],[],0,1,31,[],[],https://twitter.com/bestpickuplin3s/status/1273644376942686208,False,,0,,,,,,,"[{'user_id': '1154316092787105792', 'username': 'bestpickuplin3s'}]",,,,
1273643465247731718,1273643465247731718,1592495239000,2020-06-18,15:47:19,UTC,1154316092787105792,bestpickuplin3s,best pickup lines,,"i need my inhaler, because you take my breath away",[],[],[],0,3,30,[],[],https://twitter.com/bestpickuplin3s/status/1273643465247731718,False,,0,,,,,,,"[{'user_id': '1154316092787105792', 'username': 'bestpickuplin3s'}]",,,,
